Taluka,City_Village,Area_Type,Land_Type,Buyer_Gender,Area_sqft,Rate_per_sqft,Land_Cost,Stamp_Duty_Percent,Stamp_Duty_Amount,Registration_Percent,Registration_Amount,Total_Price,Flood_Risk,Crime_Level,Market_Access,School_Access,Hospital_Access,Growth_Rate,Distance_to_City_Center,Distance_to_Highway
Chandgad,Chandgad,Rural,Agricultural,Male,2300,350,805000,3,24150,1,8050,837200,Medium,Low,5,5,5,0.04,35.0,9.0
Shirol,Lat,Rural,Residential,Male,3000,910,2730000,3,81900,1,27300,2839200,High,Low,4,4,4,0.03,38.0,15.0
Gadhinglaj,Harali,Rural,Residential,Female,10000,800,8000000,2,160000,1,30000,8190000,Low,Low,4,4,4,0.03,45.0,15.0
Chandgad,Kowad,Rural,Residential,Female,4500,420,1890000,2,37800,1,18900,1946700,High,Low,4,4,3,0.03,38.0,11.0
Hatkanangale,Rukadi,Rural,Residential,Female,2900,1590,4611000,2,92220,1,30000,4733220,Low,Low,5,5,5,0.04,15.0,13.0
Radhanagari,Rajapur,Rural,Agricultural,Female,5500,310,1705000,2,34100,1,17050,1756150,Medium,Low,4,4,4,0.04,37.0,11.0
Radhanagari,Rajapur,Rural,Residential,Male,4500,710,3195000,3,95850,1,30000,3320850,Medium,Low,4,4,4,0.04,37.0,11.0
Karveer,Shiroli,Semi-Urban,Residential,Female,1800,3120,5616000,3,168480,1,30000,5814480,High,Medium,8,6,6,0.09,10.0,2.0
Kagal,Murgud,Semi-Urban,Agricultural,Male,5500,690,3795000,4,151800,1,30000,3976800,Low,Low,6,6,5,0.05,39.0,20.0
Kagal,Kapashi,Rural,Agricultural,Male,8000,480,3840000,3,115200,1,30000,3985200,Medium,Low,5,5,5,0.04,28.0,12.0
Hatkanangale,Alas,Rural,Residential,Female,5000,920,4600000,2,92000,1,30000,4722000,High,Low,4,4,4,0.03,25.0,22.0
Kagal,Kagal,Semi-Urban,Residential,Male,2200,2820,6204000,4,248160,1,30000,6482160,Low,Low,8,8,7,0.01,22.0,5.0
Chandgad,Shinoli,Rural,Residential,Male,2300,780,1794000,3,53820,1,17940,1865760,Medium,Low,5,5,4,0.04,33.0,9.0
Karveer,Shivaji Peth,Urban,Commercial,Female,4600,7390,33994000,5,1699700,1,30000,35723700,High,Low,9,8,9,0.07,1.0,7.0
Ajra,Ningudage,Rural,Agricultural,Female,7000,200,1400000,2,28000,1,14000,1442000,High,Low,4,4,4,0.03,36.0,10.0
Hatkanangale,Vathar,Semi-Urban,Residential,Male,3600,2080,7488000,4,299520,1,30000,7817520,Low,Low,5,5,5,0.06,19.0,17.0
Ajra,Zulapewadi,Rural,Residential,Male,2300,410,943000,3,28290,1,9430,980720,High,Low,4,4,3,0.03,37.0,11.0
Shahuwadi,Amba,Rural,Agricultural,Female,10000,200,2000000,2,40000,1,20000,2060000,High,Low,4,4,3,0.03,35.0,9.0
Bhudargad,Pimpalgoan,Rural,Residential,Male,1700,450,765000,3,22950,1,7650,795600,Medium,Low,4,4,4,0.03,30.0,8.0
Gadhinglaj,Mahagoan,Rural,Residential,Female,1500,850,1275000,2,25500,1,12750,1313250,Medium,Low,5,5,4,0.04,35.0,10.0
Karveer,Shiroli,Semi-Urban,Commercial,Female,5500,4080,22440000,3,673200,1,30000,23143200,High,Medium,8,6,6,0.09,10.0,2.0
Gadhinglaj,Kadgaon,Rural,Residential,Female,1700,840,1428000,2,28560,1,14280,1470840,Medium,Low,5,5,5,0.04,30.0,7.0
Karveer,Tarabai Park,Urban,Industrial,Male,3400,6280,21352000,6,1281120,1,30000,22663120,Medium,Low,10,9,10,0.13,1.5,10.0
Panhala,Kale,Semi-Urban,Commercial,Male,1800,2610,4698000,4,187920,1,30000,4915920,Low,Low,6,6,6,0.05,20.0,5.0
Karveer,Nagala Park,Urban,Residential,Female,1600,6750,10800000,5,540000,1,30000,11370000,Medium,Low,9,9,9,0.12,2.2,8.0
Gadhinglaj,Halkarni,Rural,Commercial,Female,6000,1100,6600000,2,132000,1,30000,6762000,Low,Low,6,7,4,0.03,60.0,12.0
Shahuwadi,Amba,Rural,Residential,Male,3000,440,1320000,3,39600,1,13200,1372800,High,Low,4,4,3,0.03,35.0,9.0
Karveer,Nagala Park,Urban,Residential,Male,4200,6790,28518000,6,1711080,1,30000,30259080,Medium,Low,9,9,9,0.12,2.2,8.0
Gadhinglaj,Kadgaon,Rural,Residential,Female,8000,850,6800000,2,136000,1,30000,6966000,Medium,Low,5,5,5,0.04,30.0,7.0
Hatkanangale,Ichalkaranji,Urban,Commercial,Female,3000,4430,13290000,5,664500,1,30000,13984500,Medium,Medium,8,8,7,0.1,25.0,22.0
Chandgad,Kudnur,Rural,Agricultural,Male,8000,370,2960000,3,88800,1,29600,3078400,Medium,Low,5,5,4,0.04,34.0,9.0
Ajra,Zulapewadi,Rural,Agricultural,Female,5000,200,1000000,2,20000,1,10000,1030000,High,Low,4,4,3,0.03,37.0,11.0
Shirol,Lat,Rural,Agricultural,Male,6000,360,2160000,3,64800,1,21600,2246400,High,Low,4,4,4,0.03,38.0,15.0
Ajra,Ajra,Rural,Commercial,Male,1700,1060,1802000,3,54060,1,18020,1874080,Medium,Low,5,5,5,0.04,30.0,8.0
Hatkanangale,Peth Vadgoan,Semi-Urban,Residential,Male,5500,2010,11055000,4,442200,1,30000,11527200,Medium,Low,6,6,6,0.07,16.0,14.0
Bhudargad,Waghapur,Rural,Residential,Female,2500,750,1875000,2,37500,1,18750,1931250,Medium,Low,4,4,4,0.04,29.0,7.0
Panhala,Kale,Semi-Urban,Residential,Male,4500,1910,8595000,4,343800,1,30000,8968800,Low,Low,6,6,6,0.05,20.0,5.0
Bhudargad,Gargoti,Semi-Urban,Residential,Female,3600,1930,6948000,3,208440,1,30000,7186440,Low,Medium,6,6,6,0.05,22.0,6.0
Karveer,Tarabai Park,Urban,Industrial,Female,900,5660,5094000,5,254700,1,30000,5378700,Medium,Low,10,9,10,0.13,1.5,10.0
Panhala,Kodoli,Semi-Urban,Residential,Female,1700,2130,3621000,3,108630,1,30000,3759630,Low,Medium,7,7,6,0.06,16.0,3.0
Ajra,Ajra,Rural,Residential,Male,5000,920,4600000,3,138000,1,30000,4768000,Medium,Low,5,5,5,0.04,30.0,8.0
Gaganbawada,Sakhari,Rural,Residential,Male,3500,790,2765000,3,82950,1,27650,2875600,High,Low,4,4,4,0.04,40.0,12.0
Chandgad,Kowad,Rural,Agricultural,Female,9000,200,1800000,2,36000,1,18000,1854000,High,Low,4,4,3,0.03,38.0,11.0
Gadhinglaj,Mahagoan,Rural,Agricultural,Female,2500,370,925000,2,18500,1,9250,952750,Medium,Low,5,5,4,0.04,35.0,10.0
Karveer,Shiroli,Semi-Urban,Residential,Male,1100,3120,3432000,4,137280,1,30000,3599280,High,Medium,8,6,6,0.09,10.0,2.0
Radhanagari,Radhanagari,Rural,Residential,Male,1700,900,1530000,3,45900,1,15300,1591200,High,Low,5,5,5,0.04,35.0,9.0
Karveer,Gokul Shirgaon,Semi-Urban,Commercial,Male,2200,2350,5170000,4,206800,1,30000,5406800,Low,Low,7,7,6,0.07,8.0,4.0
Ajra,Uttur,Rural,Agricultural,Female,6000,340,2040000,2,40800,1,20400,2101200,Medium,Low,5,5,5,0.04,32.0,9.0
Ajra,Zulapewadi,Rural,Commercial,Male,10000,520,5200000,3,156000,1,30000,5386000,High,Low,4,4,3,0.03,37.0,11.0
Shirol,Lat,Rural,Residential,Female,1700,920,1564000,2,31280,1,15640,1610920,High,Low,4,4,4,0.03,38.0,15.0
Panhala,Panhala,Semi-Urban,Commercial,Female,1800,3510,6318000,3,189540,1,30000,6537540,Low,Medium,7,7,6,0.06,18.0,4.0
Kagal,Sangaon,Rural,Agricultural,Male,4500,490,2205000,3,66150,1,22050,2293200,Medium,Low,5,5,5,0.04,25.0,14.0
Hatkanangale,Ichalkaranji,Urban,Commercial,Male,1000,4460,4460000,6,267600,1,30000,4757600,Medium,Medium,8,8,7,0.1,25.0,22.0
Kagal,Kagal,Semi-Urban,Residential,Female,1700,2470,4199000,3,125970,1,30000,4354970,Low,Low,8,8,7,0.01,22.0,5.0
Gadhinglaj,Halkarni,Rural,Industrial,Male,4500,720,3240000,3,97200,1,30000,3367200,Low,Low,6,7,4,0.03,60.0,12.0
Shirol,Kurundwad,Semi-Urban,Residential,Female,5500,1700,9350000,3,280500,1,30000,9660500,High,Low,7,7,6,0.06,35.0,33.0
Chandgad,Chandgad,Rural,Agricultural,Female,2900,390,1131000,2,22620,1,11310,1164930,Medium,Low,5,5,5,0.04,35.0,9.0
Hatkanangale,Talsande,Semi-Urban,Industrial,Female,6000,2060,12360000,3,370800,1,30000,12760800,Low,Low,6,6,6,0.07,18.0,16.0
Shahuwadi,Malkapur,Semi-Urban,Commercial,Male,2400,2710,6504000,4,260160,1,30000,6794160,Low,Medium,7,6,6,0.05,20.0,5.0
Shahuwadi,Sarud,Rural,Agricultural,Male,1700,200,340000,3,10200,1,3400,353600,High,Low,4,4,3,0.03,33.0,9.0
Gadhinglaj,Gadhinglaj,Semi-Urban,Residential,Male,2400,2360,5664000,4,226560,1,30000,5920560,Low,Medium,8,8,8,0.09,40.0,14.0
Hatkanangale,Alas,Rural,Residential,Female,2100,1060,2226000,2,44520,1,22260,2292780,High,Low,4,4,4,0.03,25.0,22.0
Karveer,Gandhinagar,Urban,Residential,Female,2200,2570,5654000,5,282700,1,30000,5966700,Low,Low,8,8,8,0.08,3.0,6.0
Ajra,Zulapewadi,Rural,Agricultural,Male,1500,200,300000,3,9000,1,3000,312000,High,Low,4,4,3,0.03,37.0,11.0
Chandgad,Here,Rural,Residential,Male,2500,820,2050000,3,61500,1,20500,2132000,Medium,Low,4,4,4,0.04,36.0,10.0
Radhanagari,Dajipur,Rural,Residential,Female,10000,310,3100000,2,62000,1,30000,3192000,High,Low,4,4,3,0.03,40.0,12.0
Karveer,Gokul Shirgaon,Semi-Urban,Commercial,Male,4000,2110,8440000,4,337600,1,30000,8807600,Low,Low,7,7,6,0.07,8.0,4.0
Karveer,Shiroli,Semi-Urban,Residential,Female,1500,3260,4890000,3,146700,1,30000,5066700,High,Medium,8,6,6,0.09,10.0,2.0
Radhanagari,Tarale,Rural,Residential,Female,1900,820,1558000,2,31160,1,15580,1604740,Medium,Low,5,5,4,0.04,33.0,10.0
Gadhinglaj,Basarge,Rural,Industrial,Female,1700,770,1309000,2,26180,1,13090,1348270,Medium,Low,5,5,5,0.04,30.0,7.0
Bhudargad,Waghapur,Rural,Agricultural,Male,6000,330,1980000,3,59400,1,19800,2059200,Medium,Low,4,4,4,0.04,29.0,7.0
Gadhinglaj,Halkarni,Rural,Agricultural,Male,9000,380,3420000,3,102600,1,30000,3552600,Low,Low,6,7,4,0.03,60.0,12.0
Hatkanangale,Vathar,Semi-Urban,Residential,Female,4500,1900,8550000,3,256500,1,30000,8836500,Low,Low,5,5,5,0.06,19.0,17.0
Karveer,Shiye,Semi-Urban,Commercial,Female,1600,3170,5072000,3,152160,1,30000,5254160,Low,Low,8,7,7,0.09,5.0,3.0
Karveer,Nagala Park,Urban,Residential,Female,2100,5760,12096000,5,604800,1,30000,12730800,Medium,Low,9,9,9,0.12,2.2,8.0
Karveer,Kalamba,Semi-Urban,Commercial,Female,1300,3300,4290000,3,128700,1,30000,4448700,Low,Low,8,8,8,0.11,3.5,4.0
Bhudargad,Gargoti,Semi-Urban,Commercial,Male,1200,2300,2760000,4,110400,1,27600,2898000,Low,Medium,6,6,6,0.05,22.0,6.0
Karveer,Gandhinagar,Urban,Commercial,Female,800,3220,2576000,5,128800,1,25760,2730560,Low,Low,8,8,8,0.08,3.0,6.0
Karveer,Tarabai Park,Urban,Residential,Female,2000,7620,15240000,5,762000,1,30000,16032000,Medium,Low,10,9,10,0.13,1.5,10.0
Shahuwadi,Malkapur,Semi-Urban,Residential,Male,4000,1980,7920000,4,316800,1,30000,8266800,Low,Medium,7,6,6,0.05,20.0,5.0
Hatkanangale,Talsande,Semi-Urban,Residential,Male,1500,2160,3240000,4,129600,1,30000,3399600,Low,Low,6,6,6,0.07,18.0,16.0
Panhala,Warnanagar,Semi-Urban,Agricultural,Female,1100,1180,1298000,3,38940,1,12980,1349920,Low,Medium,8,7,7,0.06,15.0,2.0
Bhudargad,Admapur,Rural,Residential,Female,10000,780,7800000,2,156000,1,30000,7986000,Low,Low,5,5,5,0.04,26.0,6.0
Hatkanangale,Rukadi,Rural,Residential,Female,7000,1600,11200000,2,224000,1,30000,11454000,Low,Low,5,5,5,0.04,15.0,13.0
Gadhinglaj,Kadgaon,Rural,Agricultural,Male,4500,380,1710000,3,51300,1,17100,1778400,Medium,Low,5,5,5,0.04,30.0,7.0
Radhanagari,Tarale,Rural,Agricultural,Female,4500,360,1620000,2,32400,1,16200,1668600,Medium,Low,5,5,4,0.04,33.0,10.0
Kagal,Bidri,Rural,Commercial,Female,5000,1680,8400000,2,168000,1,30000,8598000,Medium,Low,5,5,5,0.03,30.0,18.0
Gaganbawada,Sakhari,Rural,Commercial,Male,1500,970,1455000,3,43650,1,14550,1513200,High,Low,4,4,4,0.04,40.0,12.0
Chandgad,Tilari,Rural,Agricultural,Female,6000,200,1200000,2,24000,1,12000,1236000,High,Low,4,4,3,0.03,40.0,10.0
Kagal,Kapashi,Rural,Residential,Male,3000,1110,3330000,3,99900,1,30000,3459900,Medium,Low,5,5,5,0.04,28.0,12.0
Karveer,Gandhinagar,Urban,Commercial,Female,2200,3050,6710000,5,335500,1,30000,7075500,Low,Low,8,8,8,0.08,3.0,6.0
Karveer,Gokul Shirgaon,Semi-Urban,Residential,Female,3000,1920,5760000,3,172800,1,30000,5962800,Low,Low,7,7,6,0.07,8.0,4.0
Hatkanangale,Ichalkaranji,Urban,Residential,Female,2700,3280,8856000,5,442800,1,30000,9328800,Medium,Medium,8,8,7,0.1,25.0,22.0
Kagal,Kagal,Semi-Urban,Industrial,Female,5500,2490,13695000,3,410850,1,30000,14135850,Low,Low,8,8,7,0.01,22.0,5.0
Karveer,Rajarampuri,Urban,Commercial,Female,1200,8110,9732000,5,486600,1,30000,10248600,Medium,Low,9,9,9,0.12,2.0,10.0
Karveer,Shiroli,Semi-Urban,Industrial,Female,3400,2380,8092000,3,242760,1,30000,8364760,High,Medium,8,6,6,0.09,10.0,2.0
Radhanagari,Dajipur,Rural,Residential,Female,1700,310,527000,2,10540,1,5270,542810,High,Low,4,4,3,0.03,40.0,12.0
Hatkanangale,Talsande,Semi-Urban,Residential,Female,5000,2370,11850000,3,355500,1,30000,12235500,Low,Low,6,6,6,0.07,18.0,16.0
Radhanagari,Radhanagari,Rural,Residential,Female,2500,920,2300000,2,46000,1,23000,2369000,High,Low,5,5,5,0.04,35.0,9.0
Shirol,Yadrav,Rural,Residential,Male,2900,1540,4466000,3,133980,1,30000,4629980,Medium,Low,5,5,5,0.04,30.0,10.0
Karveer,Rajarampuri,Urban,Commercial,Female,3800,7600,28880000,5,1444000,1,30000,30354000,Medium,Low,9,9,9,0.12,2.0,10.0
Radhanagari,Rajapur,Rural,Residential,Female,7000,690,4830000,2,96600,1,30000,4956600,Medium,Low,4,4,4,0.04,37.0,11.0
Karveer,Rajarampuri,Urban,Residential,Female,1700,6090,10353000,5,517650,1,30000,10900650,Medium,Low,9,9,9,0.12,2.0,10.0
Karveer,Shivaji Peth,Urban,Residential,Male,2100,6070,12747000,6,764820,1,30000,13541820,High,Low,9,8,9,0.07,1.0,7.0
Panhala,Kale,Semi-Urban,Residential,Male,4000,2290,9160000,4,366400,1,30000,9556400,Low,Low,6,6,6,0.05,20.0,5.0
Shirol,Jaysingpur,Semi-Urban,Agricultural,Male,5000,1200,6000000,4,240000,1,30000,6270000,Medium,Low,7,7,7,0.06,35.0,25.0
Hatkanangale,Peth Vadgoan,Semi-Urban,Residential,Female,2000,2150,4300000,3,129000,1,30000,4459000,Medium,Low,6,6,6,0.07,16.0,14.0
Karveer,Kalamba,Semi-Urban,Commercial,Female,4500,3370,15165000,3,454950,1,30000,15649950,Low,Low,8,8,8,0.11,3.5,4.0
Panhala,Panhala,Semi-Urban,Residential,Female,1200,2440,2928000,3,87840,1,29280,3045120,Low,Medium,7,7,6,0.06,18.0,4.0
Radhanagari,Tarale,Rural,Agricultural,Male,6000,330,1980000,3,59400,1,19800,2059200,Medium,Low,5,5,4,0.04,33.0,10.0
Gadhinglaj,Kadgaon,Rural,Agricultural,Male,2300,380,874000,3,26220,1,8740,908960,Medium,Low,5,5,5,0.04,30.0,7.0
Ajra,Uttur,Rural,Agricultural,Female,1500,350,525000,2,10500,1,5250,540750,Medium,Low,5,5,5,0.04,32.0,9.0
Chandgad,Chandgad,Rural,Agricultural,Male,4500,370,1665000,3,49950,1,16650,1731600,Medium,Low,5,5,5,0.04,35.0,9.0
Gaganbawada,Vesarde,Rural,Residential,Male,9000,350,3150000,3,94500,1,30000,3274500,High,Low,4,4,3,0.03,44.0,13.0
Ajra,Uttur,Rural,Agricultural,Male,2500,370,925000,3,27750,1,9250,962000,Medium,Low,5,5,5,0.04,32.0,9.0
Ajra,Uttur,Rural,Residential,Female,9000,770,6930000,2,138600,1,30000,7098600,Medium,Low,5,5,5,0.04,32.0,9.0
Ajra,Ningudage,Rural,Residential,Male,8000,370,2960000,3,88800,1,29600,3078400,High,Low,4,4,4,0.03,36.0,10.0
Bhudargad,Admapur,Rural,Agricultural,Male,2900,360,1044000,3,31320,1,10440,1085760,Low,Low,5,5,5,0.04,26.0,6.0
Gadhinglaj,Mahagoan,Rural,Commercial,Female,10000,1020,10200000,2,204000,1,30000,10434000,Medium,Low,5,5,4,0.04,35.0,10.0
Chandgad,Here,Rural,Residential,Female,6000,770,4620000,2,92400,1,30000,4742400,Medium,Low,4,4,4,0.04,36.0,10.0
Ajra,Dewarde,Rural,Residential,Male,2300,780,1794000,3,53820,1,17940,1865760,Medium,Low,4,4,4,0.04,35.0,10.0
Kagal,Siddhanerli,Rural,Residential,Male,2700,1000,2700000,3,81000,1,27000,2808000,Low,Low,5,5,5,0.06,26.0,13.0
Gadhinglaj,Halkarni,Rural,Agricultural,Male,7000,350,2450000,3,73500,1,24500,2548000,Low,Low,6,7,4,0.03,60.0,12.0
Karveer,Nagala Park,Urban,Industrial,Female,3400,5590,19006000,5,950300,1,30000,19986300,Medium,Low,9,9,9,0.12,2.2,8.0
Karveer,Uchgaon,Semi-Urban,Residential,Female,6000,3090,18540000,3,556200,1,30000,19126200,Low,Low,8,8,7,0.15,4.0,2.0
Ajra,Ningudage,Rural,Agricultural,Female,10000,200,2000000,2,40000,1,20000,2060000,High,Low,4,4,4,0.03,36.0,10.0
Chandgad,Tilari,Rural,Commercial,Female,10000,450,4500000,2,90000,1,30000,4620000,High,Low,4,4,3,0.03,40.0,10.0
Chandgad,Here,Rural,Agricultural,Male,3000,350,1050000,3,31500,1,10500,1092000,Medium,Low,4,4,4,0.04,36.0,10.0
Bhudargad,Admapur,Rural,Agricultural,Male,10000,370,3700000,3,111000,1,30000,3841000,Low,Low,5,5,5,0.04,26.0,6.0
Bhudargad,Kadgaon,Rural,Agricultural,Male,4500,390,1755000,3,52650,1,17550,1825200,Medium,Low,5,5,5,0.04,28.0,7.0
Bhudargad,Waghapur,Rural,Residential,Female,7000,790,5530000,2,110600,1,30000,5670600,Medium,Low,4,4,4,0.04,29.0,7.0
Karveer,Gandhinagar,Urban,Residential,Female,2500,2720,6800000,5,340000,1,30000,7170000,Low,Low,8,8,8,0.08,3.0,6.0
Panhala,Kodoli,Semi-Urban,Commercial,Male,1200,3240,3888000,4,155520,1,30000,4073520,Low,Medium,7,7,6,0.06,16.0,3.0
Radhanagari,Ghotawade,Rural,Residential,Female,9000,380,3420000,2,68400,1,30000,3518400,High,Low,4,4,3,0.03,38.0,12.0
Shirol,Kurundwad,Semi-Urban,Residential,Male,1700,1730,2941000,4,117640,1,29410,3088050,High,Low,7,7,6,0.06,35.0,33.0
Kagal,Kagal,Semi-Urban,Industrial,Male,2600,2450,6370000,4,254800,1,30000,6654800,Low,Low,8,8,7,0.01,22.0,5.0
Shirol,Kurundwad,Semi-Urban,Commercial,Female,4500,2080,9360000,3,280800,1,30000,9670800,High,Low,7,7,6,0.06,35.0,33.0
Gadhinglaj,Nesari,Rural,Residential,Male,8000,1060,8480000,3,254400,1,30000,8764400,Low,Low,6,6,6,0.04,50.0,20.0
Radhanagari,Tarale,Rural,Residential,Female,4000,740,2960000,2,59200,1,29600,3048800,Medium,Low,5,5,4,0.04,33.0,10.0
Hatkanangale,Talsande,Semi-Urban,Commercial,Female,2400,2880,6912000,3,207360,1,30000,7149360,Low,Low,6,6,6,0.07,18.0,16.0
Radhanagari,Ghotawade,Rural,Residential,Female,2100,380,798000,2,15960,1,7980,821940,High,Low,4,4,3,0.03,38.0,12.0
Panhala,Panhala,Semi-Urban,Commercial,Female,4000,3110,12440000,3,373200,1,30000,12843200,Low,Medium,7,7,6,0.06,18.0,4.0
Radhanagari,Rajapur,Rural,Residential,Female,6000,710,4260000,2,85200,1,30000,4375200,Medium,Low,4,4,4,0.04,37.0,11.0
Radhanagari,Radhanagari,Rural,Commercial,Female,6000,1280,7680000,2,153600,1,30000,7863600,High,Low,5,5,5,0.04,35.0,9.0
Radhanagari,Ghotawade,Rural,Residential,Female,7000,380,2660000,2,53200,1,26600,2739800,High,Low,4,4,3,0.03,38.0,12.0
Gadhinglaj,Mahagoan,Rural,Agricultural,Female,6000,300,1800000,2,36000,1,18000,1854000,Medium,Low,5,5,4,0.04,35.0,10.0
Gadhinglaj,Harali,Rural,Residential,Male,2500,730,1825000,3,54750,1,18250,1898000,Low,Low,4,4,4,0.03,45.0,15.0
Hatkanangale,Ichalkaranji,Urban,Commercial,Female,1400,3800,5320000,5,266000,1,30000,5616000,Medium,Medium,8,8,7,0.1,25.0,22.0
Bhudargad,Pimpalgoan,Rural,Residential,Female,2300,440,1012000,2,20240,1,10120,1042360,Medium,Low,4,4,4,0.03,30.0,8.0
Hatkanangale,Hupari,Semi-Urban,Commercial,Female,6000,3380,20280000,3,608400,1,30000,20918400,Medium,Low,6,6,6,0.08,20.0,25.0
Ajra,Ningudage,Rural,Commercial,Male,7000,510,3570000,3,107100,1,30000,3707100,High,Low,4,4,4,0.03,36.0,10.0
Karveer,Uchgaon,Semi-Urban,Commercial,Male,2400,4150,9960000,4,398400,1,30000,10388400,Low,Low,8,8,7,0.15,4.0,2.0
